Reference area,TIME_PERIOD,OBS_VALUE
France,1951,1127
France,1950,1110
France,1964,1437
France,1963,1412
France,1962,1387
France,1961,1361
France,1960,1338
France,1959,1324
France,1958,1305
France,1957,1281
France,1990,2440
France,1989,2413
France,1953,1200
France,1952,1165
Latvia,2001,49.913
Latvia,2000,52.52
Latvia,1999,54.357
Latvia,2022,54.53
Latvia,2021,52.953
Latvia,2020,51.276
Latvia,2019,50.338
Latvia,2018,49.451
Latvia,2017,48.889
Latvia,2016,48.219
Latvia,2015,47.249
Latvia,2014,46.596
Latvia,2013,47.543
Latvia,2012,48.778
Latvia,1996,53.188
Latvia,1995,52.894
Latvia,2009,48.679
Latvia,2008,51.725
Latvia,2007,48.916
Latvia,2006,49.221
Latvia,2005,48.908
Latvia,2004,47.295
Latvia,2003,48.199
Latvia,2002,48.45
Latvia,2011,46.745
Latvia,2010,45.244
Latvia,1998,55.35
Latvia,1997,55.556
Iceland,1997,17.1
Iceland,1996,17.4
Iceland,1995,17.4
Iceland,2022,26.4
Iceland,2021,25.9
Iceland,2020,25.5
Iceland,2019,23.6
Iceland,2018,22.4
Iceland,2017,21.5
Iceland,2016,20.9
Iceland,2015,20.9
Iceland,2014,20.6
Iceland,2013,20.1
Iceland,2012,19.8
Iceland,2011,19.6
Iceland,2010,20.1
Iceland,2009,20.7
Iceland,2008,20.1
Iceland,1992,15.7
Iceland,1991,15.3
Iceland,2005,18.2
Iceland,2004,18.2
Iceland,2003,19.1
Iceland,2002,18
Iceland,2001,18.1
Iceland,2000,16.7
Iceland,1999,17.1
Iceland,1998,17.2
Iceland,2007,18.9
Iceland,2006,18.6
Iceland,1994,17.1
Iceland,1993,16.3
Luxembourg,2001,18.462
Luxembourg,2000,17.476
Luxembourg,1999,16.015
Luxembourg,2022,54.893
Luxembourg,2021,54.507
Luxembourg,2020,51.908
Luxembourg,2019,49.371
Luxembourg,2018,46.52
Luxembourg,2017,44.955
Luxembourg,2016,42.938
Luxembourg,2015,41.844
Luxembourg,2014,40.276
Luxembourg,2013,38.802
Luxembourg,2012,36.181
Luxembourg,1996,14.069
Luxembourg,1995,13.46
Luxembourg,2009,29.761
Luxembourg,2008,28.296
Luxembourg,2007,26.883
Luxembourg,2006,25.569
Luxembourg,2005,24.234
Luxembourg,2004,22.867
Luxembourg,2003,21.493
Luxembourg,2002,20.014
Luxembourg,2011,33.934
Luxembourg,2010,31.969
Luxembourg,1998,15.293
Luxembourg,1997,14.622
Spain,2001,883.9
Spain,2000,876.3
Spain,1999,841.6
Spain,2022,1733.6
Spain,2021,1656.9
Spain,2020,1592.6
Spain,2019,1546.1
Spain,2018,1496.7
Spain,2017,1452.1
Spain,2016,1401.9
Spain,2015,1355.8
Spain,2014,1331.1
Spain,2013,1294
Spain,2012,1311
Spain,1996,764
Spain,1995,764.4
Spain,2009,1278.9
Spain,2008,1256.9
Spain,2007,1220.6
Spain,2006,1177.7
Spain,2005,1103
Spain,2004,1040.7
Spain,2003,989.5
Spain,2002,920.3
Spain,2011,1353.3
Spain,2010,1327.4
Spain,1998,815.5
Spain,1997,787.8
Croatia,2001,82.304
Croatia,2000,82.463
Croatia,1999,82.097
Croatia,2022,106.769
Croatia,2021,107.229
Croatia,2020,107.749
Croatia,2019,109.57
Croatia,2018,102.057
Croatia,2017,99.137
Croatia,2016,96.29
Croatia,2015,97.271
Croatia,2014,97.63
Croatia,2013,87.78
Croatia,2012,83.046
Croatia,1996,82.395
Croatia,1995,82.479
Croatia,2009,91.253
Croatia,2008,85.431
Croatia,2007,83.253
Croatia,2006,81.917
Croatia,2005,80.703
Croatia,2004,80.266
Croatia,2003,82.014
Croatia,2002,81.83
Croatia,2011,81.573
Croatia,2010,88.799
Croatia,1998,82.238
Croatia,1997,82.313
Lithuania,2001,97.214
Lithuania,2000,93.818
Lithuania,1999,97.996
Lithuania,2022,109.603
Lithuania,2021,100.231
Lithuania,2020,96.677
Lithuania,2019,99.431
Lithuania,2018,94.294
Lithuania,2017,92.567
Lithuania,2016,92.151
Lithuania,2015,89.795
Lithuania,2014,84.683
Lithuania,2013,84.771
